id,name
1,Amen Corner 
2,Eyes 
3,Johns Children 
4,Powder 
5,Small Faces 
6,Who 
7,All American Rejects 
8,Brand New 
9,Dashboard Confessional 
10,Fall Out Boy 
11,Jacks Mannequin 
12,Jimmy Eat World 
13,Juliana Theory 
14,Mae 
15,New Found Glory 
16,Plain White Ts 
17,Saves The Day 
18,Say Anything 
19,Something Corporate 
20,Straylight Run 
21,The Academy Is... 
22,Yellowcard 
23,16Volt 
24,20 Dead Flower Children 
25,Aborym 
26,And One 
27,Apoptygma Berzerk 
28,Bella Morte 
29,Cabaret Voltaire 
30,Carrier Flux 
31,Celldweller 
32,Chemlab 
33,Christian Death 
34,Chris Connelly 
35,Circle Of Dust 
36,Clock Dva 
37,Coil 
38,Collide 
39,Contagion 
40,Current 93 
41,Dargaard 
42,Das Ich 
43,Deadstar Assembly 
44,Death In June 
45,Die Krupps 
46,Dive 
47,Dope 
48,Econoline Crush 
49,Enid 
50,Evil Mothers 
51,Filter 
52,Foetus 
53,Front 242 
54,Front Line Assembly 
55,Funker Vogt 
56,Genitorturers 
57,Gravity Kills 
58,Halo 
59,Hanzel Und Gretyl 
60,Integrity 
61,In Strict Confidence 
62,Kidney Thieves 
63,Kmfdm 
64,Laibach 
65,Lard 
66,Lead Into Gold 
67,Lilith 
68,Luxt 
69,Machines Of Loving Grace 
70,Mdfmk 
71,Meat Beat Manifesto 
72,Megaherz 
73,Ministry 
74,Misery Loves Co. 
75,Moev 
76,Mortal 
77,Neutral 
78,Nine Inch Nails 
79,Nitzer Ebb 
80,Ohgr 
81,Ordo Equilibrio 
82,Pailhead 
83,Pain Teens 
84,Pale Divine 
85,Pankow 
86,Pig 
87,Pigface 
88,Pitchshifter 
89,Povi 
90,Project Pitchfork 
91,Psychic Tv 
92,Revolting Cocks 
93,Rorschach Test 
94,Rosetta Stone 
95,Severed Heads 
96,Shihad 
97,Sister Machine Gun 
98,Skinny Puppy 
99,Skrew 
100,Snake River Conspiracy 
101,Snog 
102,Stabbing Westward 
103,Suicide Commando 
104,Switchblade Symphony 
105,Tackhead 
106,Tea Party 
107,Testify 
108,Think About Mutation 
109,Throbbing Gristle 
110,Trauma 
111,Two 
112,Vanishing Point 
113,Vast 
114,Velvet Acid Christ 
115,Whitehouse 
116,Wumpscut 
117,Xysma 
118,45 Grave 
119,Aiden 
120,All About Eve 
121,Angelfish 
122,Antichrisis 
123,Avernus 
124,Birthday Party 
125,Bleak 
126,Bloodflowerz 
127,Blutengel 
128,Clan Of Xymox 
129,Creatures 
130,Crematory 
131,Cure 
132,Damned 
133,Darkseed 
134,Dark Sanctuary 
135,Deadsy 
136,Death Ss 
137,Die Happy 
138,Dir En Grey 
139,Draconian 
140,Dreams Of Sanity 
141,Eden 
142,Edenbridge 
143,Elend 
144,Endanger 
145,Enochian Crescent 
146,Entwined 
147,Gene Loves Jezebel 
148,Godgory 
149,HIM 
150,Ikon 
151,Jack Off Jill 
152,Jarboe 
153,Judith 
154,Lacrimas Profundere 
155,Lacrimosa 
156,Love And Rockets 
157,Lycia 
158,Macbeth 
159,Mira 
160,Miranda Sex Garden 
161,Mission U.K. 
162,Mortal Love 
163,Otep 
164,Pale Forest 
165,Paralysed Age 
166,Perry Blake 
167,Peter Murphy 
168,Psi Com 
169,Qntal 
170,Queen Adreena 
171,Rasputina 
172,Rata Blanca 
173,Razed In Black 
174,Saturnus 
175,Scarling. 
176,Sisters Of Mercy 
177,Sleepless 
178,Spear Of Destiny 
179,Terminal Choice 
180,This Ascension 
181,Tones On Tail 
182,Trail Of Tears 
183,Tristania 
184,Twelfth Of Never 
185,Two Witches 
186,Umbra Et Imago 
187,Voltaire 
188,Within Temptation 
189,Wolfsheim 
190,Zeraphine 
191,Alexi Murdoch 
192,Aqueduct 
193,Beck 
194,Beulah 
195,Centro-matic 
196,Cruiserweight 
197,Daniel Johnston 
198,Devendra Banhart 
199,Elf Power 
200,Elliott Smith 
201,Fog 
202,Folk Implosion 
203,Graham Coxon 
204,Guided By Voices 
205,Hayden 
206,Holland 
207,Iron & Wine 
208,John Frusciante 
209,Jolie Holland 
210,Julian Cope 
211,Julie Doiron 
212,Liz Phair 
213,Mellowdrone 
214,Mike Doughty 
215,Mirah 
216,Modest Mouse 
217,Neutral Milk Hotel 
218,Paleface 
219,Pavement 
220,Robert Pollard 
221,Say Hi To Your Mom 
222,Sebadoh 
223,Slowride 
224,Smog 
225,Sufjan Stevens 
226,The Apples In Stereo 
227,The Junior Varsity 
228,The Kills 
229,Tobin Sprout 
230,Ugly Casanova 
231,Ween 
232,Wesley Willis 
233,Will Oldham 
234,Alice In Chains 
235,Babes In Toyland 
236,Blind Melon 
237,Bush 
238,Candlebox 
239,Chris Cornell 
240,Clutch 
241,Daisy Chainsaw 
242,Dogstar 
243,Down 
244,Eddie Vedder 
245,Everclear 
246,Foo Fighters 
247,Green Apple Quick Step 
248,Green River 
249,Hole 
250,Jerry Cantrell 
251,Love Battery 
252,Mad Season 
253,Magnapop 
254,Malfunkshun 
255,Melvins 
256,Moist 
257,Mother Love Bone 
258,Mudhoney 
259,Paw 
260,Pearl Jam 
261,Pray For The Soul Of Betty 
262,Presidents Of The United States Of America 
263,Screaming Trees 
264,Seaweed 
265,Sea Of Green 
266,Silverchair 
267,Smashing Pumpkins 
268,Soundgarden 
269,Stone Temple Pilots 
270,Sweetwater 
271,Temple Of The Dog 
272,Tripping Daisy 
273,Veruca Salt 
274,Whale 
275,You Am I 
276,Ambulance Ltd 
277,A.R. Kane 
278,Boo Radleys 
279,Catherine Wheel 
280,Curve 
281,Galaxie 500 
282,Hope Sandoval 
283,Kitchens Of Distinction 
284,Lush 
285,Medicine 
286,My Bloody Valentine 
287,My Vitriol 
288,Pale Saints 
289,Ride 
290,Slowdive 
291,Spiritualized 
292,Starflyer 59 
293,This Beautiful Mess 
294,Verve 
295,3 Colours Red 
296,Alfie 
297,Ash 
298,Audioweb 
299,Auteurs 
300,Babybird 
301,Bennet 
302,Bernard Butler 
303,Bis 
304,Blur 
305,Bottlefly 
306,Cast 
307,Catatonia 
308,Charlatans Uk 
309,Coldplay 
310,Compulsion 
311,Cousteau 
312,Delays 
313,Dodgy 
314,Dogs Die In Hot Cars 
315,Doves 
316,Echobelly 
317,Elastica 
318,Elbow 
319,Electrafixion 
320,Electrasy 
321,End Of Fashion 
322,Gay Dad 
323,Gene 
324,Gomez 
325,Haven 
326,Ian Brown 
327,Jj72 
328,Kasabian 
329,Keane 
330,Kenickie 
331,Kula Shaker 
332,Libertines 
333,Libido 
334,Linoleum 
335,Longpigs 
336,Lowgold 
337,Manic Street Preachers 
338,Mansun 
339,Marion 
340,Mark Owen 
341,Matt Willis 
342,Melanie C 
343,Menswear 
344,Minibar 
345,Monaco 
346,Muse 
347,Oasis 
348,Ocean Colour Scene 
349,Orlando 
350,Placebo 
351,Primal Scream 
352,Pulp 
353,Radiohead 
354,Reef 
355,Rialto 
356,Richard Ashcroft 
357,Robbie Williams 
358,Saint Etienne 
359,Salad 
360,Seafood 
361,Shampoo 
362,Shed Seven 
363,Sleeper 
364,Spacehog 
365,Starsailor 
366,Steadman 
367,Stone Roses 
368,Suede 
369,Supergrass 
370,Super Furry Animals 
371,Symposium 
372,"The Good, The Bad & The Queen "
373,Thirteen Senses 
374,Tim Burgess 
375,Turin Brakes 
376,Unbelievable Truth 
377,311 
378,Bloodhound Gang 
379,Buckethead 
380,Chronic Future 
381,Death Precious 
382,Dink 
383,Don Johnson Big Band 
384,Even Rude 
385,Faith No More 
386,Fishbone 
387,Five Fingers Of Funk 
388,Hot Action Cop 
389,Incubus 
390,Infectious Grooves 
391,I Mother Earth 
392,Jimmies Chicken Shack 
393,Junkeez Phunk 
394,Kinky Machine 
395,Kottonmouth Kings 
396,Limp Bizkit 
397,Long Beach Dub Allstars 
398,Mordred 
399,Mr. Bungle 
400,Opm 
401,Orange 9Mm 
402,Porno For Pyros 
403,Primer 55 
404,Primus 
405,Psychefunkapus 
406,Red Hot Chili Peppers 
407,Regurgitator 
408,Scatterbrain 
409,Shootyz Groove 
410,Sinergia 
411,Snot 
412,Sugar Ray 
413,Tomahawk 
414,Ugly Kid Joe 
415,Zebrahead 
416,3 Minute Hero 
417,764-Hero 
418,7 Year Bitch 
419,Acetone 
420,Action Action 
421,Ac Acoustics 
422,Admiral Twin 
423,Aereogramme 
424,Afghan Whigs 
425,Afterhours 
426,"Albert Hammond, Jr. "
427,Alice Donut 
428,American Football 
429,American Music Club 
430,America Gomorrah 
431,Amps 
432,AM Radio 
433,Anberlin 
434,Andy Stochansky 
435,Anekdoten 
436,Anika Moa 
437,Ani Difranco 
438,Anniversary 
439,Arab Strap 
440,Arcade Fire 
441,Archers Of Loaf 
442,Arctic Monkeys 
443,Arcwelder 
444,Armor For Sleep 
445,Ashley Stove 
446,Ass Ponys 
447,Athlete 
448,Atom And His Package 
449,At The Drive In 
450,Audio Learning Center 
451,Avail 
452,Aveo 
453,Azure Ray 
454,A-Camp 
455,Babyshambles 
456,Bad Astronaut 
457,Bare Jr. 
458,Bear Vs. Shark 
459,Beatsteaks 
460,Beat Happening 
461,Before Braille 
462,Belly 
463,Benjamins 
464,Benjamin Diamond 
465,Benton Falls 
466,Ben Kweller 
467,Ben Lee 
468,Betchadupa 
469,Bettie Serveert 
470,Bif Naked 
471,Big Black 
472,Big City Dreams 
473,Bikini Kill 
474,Black Gold 
475,Black Rebel Motorcycle Club 
476,Blake Babies 
477,Bleu 
478,Blind Zero 
479,Bloc Party 
480,Blonde Redhead 
481,Bluebottle Kiss 
482,Blueline Medic 
483,Blumfeld 
484,Bob Mould 
485,Bongwater 
486,Boris 
487,Boy Sets Fire 
488,Braid 
489,Brandtson 
490,Brassy 
491,Bratmobile 
492,Breaking Pangaea 
493,Breeders 
494,Bright Eyes 
495,British Sea Power 
496,Broken Social Scene 
497,Buffalo Daughter 
498,Built To Spill 
499,Burning Airlines 
500,Burning Brides 
501,Butchies 
502,Butt Trumpet 
503,Cadillac Blindside 
504,Café Tacuba 
505,Cake Like 
506,Calexico 
507,Calla 
508,Camera Obscura 
509,Camper Van Beethoven 
510,Carpark North 
511,Cat On Form 
512,Cat Power 
513,Cave In 
514,Cerys Matthews 
515,Charlotte Hatherley 
516,Chicks On Speed 
517,Chixdiggit 
518,Choking Victim 
519,Chumbawamba 
520,Cibo Matto 
521,Citizen Fish 
522,Clap Your Hands Say Yeah 
523,Clem Snide 
524,Cocorosie 
525,Commander Venus 
526,Cool Kids Of Death 
527,Copeland 
528,Cop Shoot Cop 
529,Coral 
530,Cordalene 
531,Cornershop 
532,Cows 
533,Creeper Lagoon 
534,Cub 
535,Cursive 
536,Custard 
537,Damien Jurado 
538,Daphne Loves Derby 
539,Darkside 
540,Darren Hanlon 
541,David Gray 
542,Days Away 
543,Dead Moon 
544,Deathray 
545,Death Cab For Cutie 
546,Death From Above 1979 
547,Deerhoof 
548,Denali 
549,Denison Witmer 
550,Desa 
551,Desaparecidos 
552,Didjits 
553,Dinosaur Jr. 
554,Division Of Laura Lee 
555,Dntel 
556,Dover 
557,Drill 
558,Earlimart 
559,Editors 
560,Ed Harcourt 
561,Electric Six 
562,Elefant 
563,Element Of Crime 
564,Eleventeen 
565,Elliott 
566,Emma 
567,Enemy You 
568,Engine 
569,Enon 
570,Envy Corps 
571,Evermore 
572,Evol 
573,Eyes Adrift 
574,Fairweather 
575,Fall 
576,Farrah 
577,Fatima Mansions 
578,Feist 
579,Fifteen 
580,Filmmaker 
581,Fireside 
582,Firewater 
583,Fleming & John 
584,Franz Ferdinand 
585,French Kicks 
586,Fretblanket 
587,Fugazi 
588,Gas Huffer 
589,Gatsbys American Dream 
590,Gem 
591,Gentlemen Last 
592,Ghost 
593,Ghoti Hook 
594,Gigolo Aunts 
595,Girls Against Boys 
596,Gisli 
597,Godspeed You! Black Emperor 
598,Good Life 
599,Go Sailor 
600,Grandaddy 
601,Gray Matter 
602,Great Northern 
603,Grimskunk 
604,Gus Gus 
605,Gym Class Heroes 
606,Halo Friendlies 
607,Hangnail 
608,Hanover Saints 
609,Harvey Danger 
610,Har Mar Superstar 
611,Hazel 
612,Headless Chickens 
613,Head Automatica 
614,Heatmiser 
615,Helium 
616,Hellogoodbye 
617,Hell On Wheels 
618,Hemlock 
619,Hey Mercedes 
620,Himsa 
621,Hippos 
622,Håkan Hellström 
623,Holy Soldier 
624,Hoods 
625,Hoover 
626,Hot Hot Heat 
627,Hot Rod Circuit 
628,Hot Snakes 
629,Hum 
630,Ian Moore 
631,IDA 
632,Imbroco 
633,Imperial Teen 
634,Interpol 
635,Intro5Pect 
636,Ivy 
637,I Can Make A Mess Like Nobodys Business 
638,Jason Webley 
639,Jawbox 
640,Jawbreaker 
641,Jebediah 
642,Jeffries Fan Club 
643,Jenoah 
644,Jets To Brazil 
645,Joanna Newsom 
646,Joe Christmas 
647,Johan 
648,John Vanderslice 
649,Juliana Hatfield 
650,Kaia 
651,Kaiser Chiefs 
652,Kaizers Orchestra 
653,Kamera 
654,Kate Nash 
655,Ken 
656,Kenna 
657,Kettcar 
658,Kevin Devine 
659,Kevin Seconds 
660,Killdozer 
661,Kind Of Like Spitting 
662,King Cobb Steelie 
